metal_index,metal,a,c/a,fermi,dband_center,dband_width,d_band_filling,vac_E,bare_mu,bare_alpha,bare_E,no3_mu,no3_alpha,no3_q,no3_E,no3_G,tstate_mu,tstate_alpha,tstate_q,tstate_E,tstate_G,fstate_mu,fstate_alpha,fstate_E
0,saa_rh1cu_111,3.7,1,-0.3176,-1.558296335,1.75413468,0.88694206,4.278,0.012532,2.820418947,-113.0642328,0.471479,3.102980763,-0.288143,-137.5174754,-137.274,0.316809,3.020287436,-0.329207,-136.5487,-136.343,0.415778,2.998703824,-138.1513417
1,saa_ni1cu_111,3.7,1,-0.3775,-1.434713441,1.559326466,0.91476455,4.198,-0.000439,2.804781804,-111.2981192,0.433115,3.071742474,-0.312157,-135.8781233,-135.635,0.157469,3.011082584,-0.289971,-135.3724,-135.163,0.403901,2.972572487,-136.4924077
2,saa_ru1cu_111,3.7,1,-0.3234,-1.37688103,1.915439633,0.84010448,4.307,0.020128,2.819262238,-113.8853102,0.445798,3.119464188,-0.267557,-138.4817492,-138.223,0.282469,3.198806274,-0.225622,-138.1827,-138.081,0.416139,2.987808823,-139.6457334
3,saa_pd1cu_111,3.7,1,-0.3293,-1.975076342,1.694360637,0.93023679,4.249,0.001422,2.821324174,-111.7006878,0.506576,3.101112783,-0.366975,-135.9681644,-135.725,0.19639,3.2975692,-0.332416,-135.5257,-135.489,0.487733,3.035367916,-136.1310041
4,cu_111,3.7,1,-0.3956,-2.174871727,1.39156854,0.95571413,4.174,-0.005776,2.8154,-109.9115075,0.451992,3.0692,-0.361719,-134.2971144,-134.047,0.187896,3.128750681,-0.331721,-133.7829554,-133.599,0.485008,3.000248357,-134.8522752
5,pd_111,3.97,1,0.2206,-1.492269424,1.525300245,0.90583684,5.339,0.011746,3.391388762,-158.07658,0.39212,3.771745769,-0.285341,-181.9605325,-181.708,0.112016,3.835145448,-0.294748,-181.2569,-181.11,0.291912,3.640377306,-182.0426395
6,rh_111,3.87,1,1.043,-1.486955068,1.932297288,0.78884604,5.98,-0.012442,3.204723382,-224.9456597,0.333729,3.510345315,-0.215039,-249.3712165,-249.069,0.082796,3.549924872,-0.163417,-248.7554,-248.578,0.273656,3.391471375,-250.1991702
7,ru_0001,2.72,1.58,1.5644,-1.471511895,2.042326397,0.71127781,6.433,-0.014619,3.207184011,-291.5176403,0.301692,3.466226881,-0.236313,-316.4040857,-316.115,0.08687,3.498205437,-0.18586,-315.8976,-315.733,0.26693,3.337430149,-317.9896359
8,ni_111,3.55,1,0.1409,-1.195175822,1.709500657,0.86035899,5.021,0.001774,2.5458,-167.8543695,0.348516,2.811,-0.252276,-192.349123,-192.085,nan,nan,nan,nan,nan,nan,nan,nan
9,saa_rh1cu_100,3.7,1,-0.5683,-1.485769629,1.662732834,0.89532344,3.873,0.036137,2.93836528,-110.7731293,0.532033,3.223876305,-0.2964,-135.4927296,-135.206,0.301812,3.268111073,-0.313249,-134.7567,-134.548,0.448783,3.103149599,-136.4760806
10,saa_ni1cu_100,3.7,1,-0.5706,-1.383104587,1.458696375,0.9209591,3.789,0.012032,2.932338065,-109.1589842,0.509575,3.176180361,-0.333574,-133.9755211,-133.701,0.295787,3.27463085,-0.376906,-133.3219,-133.171,0.464438,3.065377048,-134.9509435
11,saa_ru1cu_100,3.7,1,-0.5556,-1.3236843,1.809920112,0.84382493,3.881,0.036532,2.94132533,-111.4539262,0.489613,3.235259787,-0.274072,-136.4570258,-136.142,0.327868,3.3033528,-0.2515,-136.1195,-136.1195,0.474673,3.099286796,-137.9112805
12,saa_pd1cu_100,3.7,1,-0.5342,-1.881753287,1.521430891,0.93835283,3.85,0.020897,2.943856795,-109.6617978,0.611759,3.217919837,-0.391738,-134.0949519,-133.831,nan,nan,nan,nan,nan,nan,nan,nan
13,cu_100,3.7,1,-0.4916,-2.102569563,1.248920216,0.96224604,3.739,-0.010568,2.923763158,-107.8207082,0.546279,3.30901602,-0.387453,-132.5244859,-132.229,0.361661,3.310745002,-0.504998,-131.6054,-131.438,0.514568,3.064801549,-133.2608362
14,pd_100,3.97,1,-0.088,-1.484231327,1.431505781,0.9116973,4.798,-0.003711,3.53492914,-155.2752173,0.467889,3.907106932,-0.310704,-179.4117619,-179.161,0.248403,4.146167266,-0.356583,-178.5044,-178.325,0.361785,3.779570195,-179.4537835
15,rh_100,3.87,1,0.5096,-1.418466879,1.831163194,0.79400122,5.436,-0.004508,3.371996428,-219.6319158,0.337012,3.686637651,-0.218587,-244.2848911,-243.967,0.251125,3.746491455,-0.283707,-243.5257,-243.257,0.339246,3.570884201,-245.4135046
16,ni_100,3.55,1,-0.1644,-1.14324597,1.573356318,0.86704975,4.51,-0.002261,2.664,-164.3772916,0.394969,2.960386432,-0.28064,-189.1310082,-188.85,nan,nan,nan,nan,nan,nan,nan,nan
